,name,stars,text,lemma,polarity,analysis
0,Popeyes,1.0,Awful.  Waited in line for 15-20 for a chicken sandwich and a biscuit.  I didn't get what I ordered and the chicken sandwich had a bone in it.  The staff was 50/50 miserable compared to helpful. Unacceptable.,  Awful Waited line chicken sandwich biscuit get order chicken sandwich bone staff miserable compare helpful Unacceptable,-0.8,Negative
1,Popeyes,1.0,"This is my first time at the Hartsfield Airport and I had no idea what the service at the Hartsfield Airport Popeyes would be like.  Sadly, it was far worse than any other Popeyes restaurant I've ever dealt with.

There were four employees there, working shoulder to shoulder, but despite their close proximity to each other, couldn't seem to communicate with each other.  The first employee took my order (Two large red beans & rice, one large Cajun fries and one grilled chicken sandwich), and wrote my name (Steve) on two paper bags.

Perhaps a minute or two later another employee starts calling out, ""STEVE!  IS THERE A STEVE HERE? STEVE?  STEVE?""

I was standing just a few inches away from her and said, ""I'm Steve.""

""YOU HAVE TWO RED BEANS AND RICE AND A LARGE CAJUN FRY?"" she asked me, yelling like a drill sergeant.

""Yes,"" I confirmed, ""Two large red beans and rice and a large Cajun fries"".

""ALSO A GRILLED CHICKEN SANDWICH?""

""Yes,"" I confirmed, ""One chicken sandwich.""

I ended up confirming my order with her and one other employee about three or four times.  Both with her and another employee who also shouted like a drill sergeant.

I thought this was ridiculous.  In most fast-food restaurants I only have to give my order information to one employee and I only have to do it once.  And traditionally none of the employees yell like drill sergeants.

The cashier also asked what was on my order, so I confirmed with her as well that I was supposed to get two large red beans and rice, one large Cajun fries and one grilled chicken sandwich.

My bill came to eighteen dollars and some change.  I paid the cashier and took my food to my boarding gate, approximately 300 yards away from the Popeyes restaurant and when I opened my bags I discovered that (despite the fact that I had told FOUR employees everything that was on my order), that my grilled chicken sandwich (which I had paid $5.17 for) was not in either bag.

I realize that fast food employees aren't paid very much, but when I give my order information to FOUR employees at a restaurant I don't think it's unreasonable to expect that they should give me all the food that I paid for.",  first time Hartsfield Airport idea service Hartsfield Airport Popeyes would like Sadly far bad Popeyes restaurant ever dealt four employee work shoulder shoulder despite close proximity seem communicate first employee take order Two large red bean rice one large Cajun fry one grill chicken sandwich write name Steve two paper bag Perhaps minute two later another employee start call STEVE STEVE STEVE STEVE stand inch away say Steve TWO RED BEANS RICE LARGE CAJUN FRY ask yell like drill sergeant Yes confirm Two large red bean rice large Cajun fry ALSO GRILLED CHICKEN SANDWICH Yes confirm One chicken sandwich end confirm order one employee three four time another employee also shout like drill sergeant think ridiculous fast food restaurant give order information one employee traditionally none employee yell like drill sergeants cashier also ask order confirm well suppose get two large red bean rice one large Cajun fry one grill chicken sandwich bill come eighteen dollar change pay cashier take food board gate approximately yards away Popeyes restaurant open bag discover despite fact tell FOUR employee everything order grilled chicken sandwich pay either bag realize fast food employee pay much give order information FOUR employee restaurant think unreasonable expect give food pay,-0.06190476190476191,Negative
2,Popeyes,4.0,"They weren't ready for the return of the chicken. They stopped taking orders when the restaurant appeared half full. The drive thru only had appeared to have about ten cars. They took on Chick-Fil-A on a day that they are closed. Definitely not the expedient service that I get at Chick-Fil-A, but to be fair, I get no service on Sunday at Chick-Fil-A!

As I write this review I see that cars are starting to wrap around the store. I don't know how it will go as the day goes on. But it's high noon and there's a showdown brewing. 

Chick-Fil-A has an awesome chicken sandwich. Always crispy and tasty. The sauces are also a huge plus at Chick-Fil-A. 

So I was in the drive thru while my wife was in line. She was able to order, so I hopped out of line. All of the cars in the drive thru behind me were gone before we got our food. It seems like it may be best to go in the drive thru. Even though the drive thru line is now running out of the lot. I'm guessing that they put a huge priority on the drive thru orders. 

People inside appear to be very angry. Two separate people complained about waiting nearly an hour for a sandwich. They said it on the way out somewhat grumbling. Perhaps attempting to warn others before they order. Unfortunately, my order is already in! And new people, with eyes full of hope are standing in line. Most of the people that were here with my half hour ago and still here. 

Now people are verbally warning others loudly about a 40 minute and counting wait. A gentlemen just walked out. Another cashier is calling number 13 about twelve times. Number 13 may have died of starvation. I'm scanning to ensure that no one appears to be hypoglycemic. 

My order is here! We are sitting at a very dirty table, I don't care, all I want is chicken. We ordered one regular and one spicy. 

The bread and chicken size get the nod. The texture of the breading is fantastic. The spicy flavor at Chick-Fil-A wrecks Popeye's. But the chicken sandwich here is great. 

The service was friendly despite a trying circumstance for the employees. Even so, the service and speed are far better at Chick-Fil-A. Well not counting the closest competition Chick-Fil-A, I don't even believe they are a real Chick-Fil-A. 

This was all just my experience, all my opinion, please don't take it as fact.",  ready return chicken stop take order restaurant appear half full drive thru appear ten car take Chick Fil day close Definitely expedient service get Chick Fil fair get service Sunday Chick Fil write review see car start wrap around store know go day go high noon showdown brewing Chick Fil awesome chicken sandwich Always crispy tasty sauce also huge plus Chick Fil drive thru wife line able order hop line car drive thru behind go get food seem like may best go drive thru Even though drive thru line run lot guess put huge priority drive thru order People inside appear angry Two separate people complain wait nearly hour sandwich say way somewhat grumble Perhaps attempt warn others order Unfortunately order already new people eye full hope stand line people half hour ago still people verbally warn others loudly minute count wait gentleman walk Another cashier call number twelve time Number may die starvation scan ensure one appear hypoglycemic order sit dirty table care want chicken order one regular one spicy bread chicken size get nod texture breading fantastic spicy flavor Chick Fil wreck Popeye chicken sandwich great service friendly despite try circumstance employee Even service speed far good Chick Fil Well count close competition Chick Fil even believe real Chick Fil experience opinion please take fact,0.0799403122130395,Positive
3,Popeyes,1.0,"I have being several times there but they never have the chicken sandwich because some problem in the kitchen. I personally believe that the franchise should do something about stores respecting the specials or promotions. 

Also I heard the manager being rude with a customer and I think this is really inappropriate for the brand and the basic customer service guidelines.",  several time never chicken sandwich problem kitchen personally believe franchise something store respect special promotion Also hear manager rude customer think really inappropriate brand basic customer service guideline,0.07959183673469387,Positive
4,Popeyes,1.0,I have been trying to get the spicy chicken sandwich for the last three months and every time I've been coming in through drive-through trying to order it you guys are out this is silly ridiculous that don't have such a popular demand it sandwich cheese I give up,  try get spicy chicken sandwich last three month every time come drive try order guy silly ridiculous popular demand sandwich cheese give,-0.16666666666666669,Negative
5,Popeyes,3.0,"Came here for their chicken sandwich i have to say its fricken amazing !!! But only downside is we got there right when it opened and they didn't even have anything prepared, ABSOLUTELY NOTHING PREPARED, we had to wait a long long time along with many others just for a sandwich that should of already been prepared when they know everyone is coming for that specific item. It's sad to see their worker in the front working so hard by himself while many other are scrambling around to get things ready at 10:40; when the store opens at 1030. I feel bad for these people working, seems people don't want to work here & it seems like their management is terrible. And has a huge lack of responsibility. But the food was good after waiting for so long so i will be back. Hopefully it's better",  Came chicken sandwich say fricken amazing downside get right open even anything prepare ABSOLUTELY NOTHING PREPARED wait long long time along many others sandwich already prepare know everyone come specific item sad see worker front work hard many scramble around get thing ready store open feel bad people work seem people want work seem like management terrible huge lack responsibility food good wait long back Hopefully well,0.007202380952380963,Neutral
6,Popeyes,1.0,Pulled into the drive through to try out this chicken sandwich everyone is talking about.  The line was short with only six cars ahead of us.  Fast forwadd 20 minutes and still six cars with no movement.  Time to head to Chick-fil-a!,  Pulled drive try chicken sandwich everyone talk line short six car ahead us Fast forwadd minute still six car movement Time head Chick fil,-0.13333333333333333,Negative
7,Popeyes,5.0,I messed up my order and after I paid I realized I should have ordered the tender BOX instead of a combo.  The manager asked if everything was ok and I mentioned that I screwed up.  The manager was so nice and said don't worry- she fixed it and refunded me the $6 difference.  Small gesture from the manager but very appreciated.  Oh and I got a chicken sandwich too.    Lobby was very clean!  Service was super quick too!,  mess order pay realize order tender BOX instead combo manager ask everything ok mention screw manager nice say worry fix refund difference Small gesture manager appreciated Oh get chicken sandwich Lobby clean Service super quick,0.14537037037037037,Positive
8,Popeyes,5.0,Chicken sandwiches were sold out 3 times but the service was absolutely fantastic. Staff was super friendly. Don't know what these other Karens and Chads are complaining about.,  Chicken sandwich sell time service absolutely fantastic Staff super friendly know Karens Chads complain,0.12708333333333333,Positive
9,Popeyes,3.0,"I've heard people rave about Popeyes new chicken sandwich, so I was eager to give it a try. It was a decent sandwich but I wasn't blown away by it. The bun was good, the chicken moist but a little too much breading and sauce. I'd say both PDQ and Chick-fil-A do a better job. I'll try again in six months or so",  heard people rave Popeyes new chicken sandwich eager give try decent sandwich blow away bun good chicken moist little much breading sauce say PDQ Chick fil good job try six month,0.06444128787878786,Positive
