"name","stars","business_id"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",5,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",3,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",2,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",3,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",2,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",1,"_-5e6d8vjkyWbFMVKYQu5w"
"McDonald's",3,"_-5e6d8vjkyWbFMVKYQu5w"
"Burger King",5,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",4,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",5,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",3,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",2,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",2,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Burger King",1,"_2c-CNygUt3jA3h7gSM7Rw"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",2,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",3,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",3,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",3,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",2,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",1,"_4jW61c-4RuVMHPAzwxFKQ"
"Wendy's",3,"_4jW61c-4RuVMHPAzwxFKQ"
"McDonald's",4,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",2,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",1,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",3,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",1,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",3,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",1,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",1,"_4L8TQ_3TyaIOcPTkNiAQQ"
"McDonald's",3,"_4L8TQ_3TyaIOcPTkNiAQQ"
