,name,stars,text,polarity,analysis
0,Popeyes,1.0,Awful.  Waited in line for 15-20 for a chicken sandwich and a biscuit.  I didn't get what I ordered and the chicken sandwich had a bone in it.  The staff was 50/50 miserable compared to helpful. Unacceptable.,-0.8,Negative
1,Popeyes,1.0,"This is my first time at the Hartsfield Airport and I had no idea what the service at the Hartsfield Airport Popeyes would be like.  Sadly, it was far worse than any other Popeyes restaurant I've ever dealt with.

There were four employees there, working shoulder to shoulder, but despite their close proximity to each other, couldn't seem to communicate with each other.  The first employee took my order (Two large red beans & rice, one large Cajun fries and one grilled chicken sandwich), and wrote my name (Steve) on two paper bags.

Perhaps a minute or two later another employee starts calling out, ""STEVE!  IS THERE A STEVE HERE? STEVE?  STEVE?""

I was standing just a few inches away from her and said, ""I'm Steve.""

""YOU HAVE TWO RED BEANS AND RICE AND A LARGE CAJUN FRY?"" she asked me, yelling like a drill sergeant.

""Yes,"" I confirmed, ""Two large red beans and rice and a large Cajun fries"".

""ALSO A GRILLED CHICKEN SANDWICH?""

""Yes,"" I confirmed, ""One chicken sandwich.""

I ended up confirming my order with her and one other employee about three or four times.  Both with her and another employee who also shouted like a drill sergeant.

I thought this was ridiculous.  In most fast-food restaurants I only have to give my order information to one employee and I only have to do it once.  And traditionally none of the employees yell like drill sergeants.

The cashier also asked what was on my order, so I confirmed with her as well that I was supposed to get two large red beans and rice, one large Cajun fries and one grilled chicken sandwich.

My bill came to eighteen dollars and some change.  I paid the cashier and took my food to my boarding gate, approximately 300 yards away from the Popeyes restaurant and when I opened my bags I discovered that (despite the fact that I had told FOUR employees everything that was on my order), that my grilled chicken sandwich (which I had paid $5.17 for) was not in either bag.

I realize that fast food employees aren't paid very much, but when I give my order information to FOUR employees at a restaurant I don't think it's unreasonable to expect that they should give me all the food that I paid for.",-0.06190476190476191,Negative
2,Popeyes,4.0,"They weren't ready for the return of the chicken. They stopped taking orders when the restaurant appeared half full. The drive thru only had appeared to have about ten cars. They took on Chick-Fil-A on a day that they are closed. Definitely not the expedient service that I get at Chick-Fil-A, but to be fair, I get no service on Sunday at Chick-Fil-A!

As I write this review I see that cars are starting to wrap around the store. I don't know how it will go as the day goes on. But it's high noon and there's a showdown brewing. 

Chick-Fil-A has an awesome chicken sandwich. Always crispy and tasty. The sauces are also a huge plus at Chick-Fil-A. 

So I was in the drive thru while my wife was in line. She was able to order, so I hopped out of line. All of the cars in the drive thru behind me were gone before we got our food. It seems like it may be best to go in the drive thru. Even though the drive thru line is now running out of the lot. I'm guessing that they put a huge priority on the drive thru orders. 

People inside appear to be very angry. Two separate people complained about waiting nearly an hour for a sandwich. They said it on the way out somewhat grumbling. Perhaps attempting to warn others before they order. Unfortunately, my order is already in! And new people, with eyes full of hope are standing in line. Most of the people that were here with my half hour ago and still here. 

Now people are verbally warning others loudly about a 40 minute and counting wait. A gentlemen just walked out. Another cashier is calling number 13 about twelve times. Number 13 may have died of starvation. I'm scanning to ensure that no one appears to be hypoglycemic. 

My order is here! We are sitting at a very dirty table, I don't care, all I want is chicken. We ordered one regular and one spicy. 

The bread and chicken size get the nod. The texture of the breading is fantastic. The spicy flavor at Chick-Fil-A wrecks Popeye's. But the chicken sandwich here is great. 

The service was friendly despite a trying circumstance for the employees. Even so, the service and speed are far better at Chick-Fil-A. Well not counting the closest competition Chick-Fil-A, I don't even believe they are a real Chick-Fil-A. 

This was all just my experience, all my opinion, please don't take it as fact.",0.0799403122130395,Positive
3,Popeyes,1.0,"I have being several times there but they never have the chicken sandwich because some problem in the kitchen. I personally believe that the franchise should do something about stores respecting the specials or promotions. 

Also I heard the manager being rude with a customer and I think this is really inappropriate for the brand and the basic customer service guidelines.",0.07959183673469387,Positive
4,Popeyes,1.0,I have been trying to get the spicy chicken sandwich for the last three months and every time I've been coming in through drive-through trying to order it you guys are out this is silly ridiculous that don't have such a popular demand it sandwich cheese I give up,-0.16666666666666669,Negative
5,Popeyes,3.0,"Came here for their chicken sandwich i have to say its fricken amazing !!! But only downside is we got there right when it opened and they didn't even have anything prepared, ABSOLUTELY NOTHING PREPARED, we had to wait a long long time along with many others just for a sandwich that should of already been prepared when they know everyone is coming for that specific item. It's sad to see their worker in the front working so hard by himself while many other are scrambling around to get things ready at 10:40; when the store opens at 1030. I feel bad for these people working, seems people don't want to work here & it seems like their management is terrible. And has a huge lack of responsibility. But the food was good after waiting for so long so i will be back. Hopefully it's better",0.007202380952380963,Neutral
6,Popeyes,1.0,Pulled into the drive through to try out this chicken sandwich everyone is talking about.  The line was short with only six cars ahead of us.  Fast forwadd 20 minutes and still six cars with no movement.  Time to head to Chick-fil-a!,-0.13333333333333333,Negative
7,Popeyes,5.0,I messed up my order and after I paid I realized I should have ordered the tender BOX instead of a combo.  The manager asked if everything was ok and I mentioned that I screwed up.  The manager was so nice and said don't worry- she fixed it and refunded me the $6 difference.  Small gesture from the manager but very appreciated.  Oh and I got a chicken sandwich too.    Lobby was very clean!  Service was super quick too!,0.14537037037037037,Positive
8,Popeyes,5.0,Chicken sandwiches were sold out 3 times but the service was absolutely fantastic. Staff was super friendly. Don't know what these other Karens and Chads are complaining about.,0.12708333333333333,Positive
9,Popeyes,3.0,"I've heard people rave about Popeyes new chicken sandwich, so I was eager to give it a try. It was a decent sandwich but I wasn't blown away by it. The bun was good, the chicken moist but a little too much breading and sauce. I'd say both PDQ and Chick-fil-A do a better job. I'll try again in six months or so",0.06444128787878786,Positive
10,Popeyes,1.0,This Popeyes will close down for good I went there and order two chicken sandwich's two sodas fries and dirty rice after they gave us the food we checked the bag. They didn't gave us the dirty rice and the straws. The chicken sandwich was cold we ask them form the car but they didn't answer so I went in there and got the dirty rice. Never go here again. They are about to lose their jobs. They have a bad attitude.,-0.45,Negative
11,Popeyes,1.0,"Pity the fool.

Woe to anyone who spends a dime at this Popeye's.  The many recent 1* reviews we found on Yelp are 100% true.  This location has the most incompetent and dishonest employees we've ever encountered in any restaurant in our life.  No exaggeration. 

No excuses on this visit:  we went at 5pm, before the dinner rush; we were the only car in the drive-through; and we saw at least 6 people wearing Popeye's uniforms standing around 'working' inside.

Our order was wrong:
1. Ordered spicy.  Repeated it twice to the young girl on the speaker taking our order, who repeated our order back to us correctly.  We received mild.  Mild was printed on our receipt. 
2. Our order was for 10 pieces of spicy mixed chicken.  Our box had 5 small drumsticks; 4 minuscule wings; and a teeny-tiny thigh. Our receipt showed we received 3 drumsticks; 3 wings; 2 thighs; and 2 breasts. Nope. Not even close.
3.  Paid for an additional spicy chicken sandwich.  We don't know if it was spicy, because our chicken sandwich was not included in our to-go bag.  Even though we paid for it and it was printed on our receipt. We can only conclude our chicken sandwich was stolen out of our order by an employee.
4. The tiny chicken pieces in our order were grossly over-cooked to the point of being inedible. Dry and shrunken and stringy and tasted burned.  We threw everything except the cole slaw and biscuits out.
5. The red beans and rice side we ordered was 75% dry over-cooked rice.  There were hardly enough red beans to cover the bottom of the small container.
6. The printed menu showed our 'family meal' order included 6 biscuits.  And '6 biscuits' was printed on our receipt.  The small box in our bag only had 5 biscuits.

We made the mistake of paying without looking at our receipt.  And compounded that mistake by then driving home without looking in our bag of food. 

The sheer incompetence, or stupidity, or most likely all of this plus the intentional manipulation and theft related to our order at this location boggles the mind.  

How many other customers aren't given the food they paid for?  Incompetent customer service notwithstanding, if you pay for something, isn't the store obligated to give you what you bought? 

In hindsight, we noticed the employees are mostly all grossly overweight.  Is this due to them stealing and then eating the customer's stolen food?  

Stealing food out of customer's orders means these dishonest employees would not get caught stealing from their employer.  So they keep their job while they fill up eating free stolen food.  

We suspect most customers will simply write-off the missing food as a random mistake.  Many customers won't even realize their order is wrong until they are long gone from the restaurant 20+ minutes down the interstate.  

Doing the math, if these dishonest employees steal  food from every customer like they stole ours, the amount of employee theft at this location is staggering.

Never eat here.  Don't go, no matter how much you crave a Popeye's spicy chicken sandwich.  Although we can't give a review of their spicy chicken sandwich, because the one we bought was stolen by the employees.",-0.13273809523809518,Negative
12,Popeyes,1.0,"We used the drive thru at 8:30 to order two chicken sandwiches.  A surly girl informed us that they were out of all sandwiches for the rest of the night. They close at 10pm. Ridiculous. We went to Chick-fil-A, up the street, and got delicious food cheerfully served. .",0.11666666666666667,Positive
